ID,WAVELENGTH,FLUX,FLUX_ERR
3851-55302-0325,[ 3574.374   3575.1963  3576.0208 ... 10322.862  10325.231  10327.612 ],"[8.25785788e-17 7.95547902e-17 7.65320936e-17 ... 3.19903010e-16
 2.85681846e-16 1.03895956e-16]","[3.4685979e-17 0.0000000e+00 2.9820788e-17 ... 1.6605241e-17 1.9498732e-17
 1.4537944e-17]"
3851-55302-0657,[ 3588.3923  3589.22    3590.0457 ... 10365.737  10368.116  10370.507 ],"[ 5.26419429e-17  1.10189805e-17  3.81448384e-17 ...  1.41302698e-17
 -1.26016943e-16 -1.78030563e-16]","[3.8150142e-17 3.5027403e-17 3.4359835e-17 ... 4.6902994e-17 4.8551968e-17
 4.8957856e-17]"
3857-55272-0595,[ 3583.4395  3584.264   3585.0903 ... 10341.888  10344.272  10346.657 ],"[ 7.6192301e-17  7.8413036e-17  6.0885251e-17 ...  1.2668347e-17
  2.3680158e-17 -5.7334092e-17]","[2.8066665e-17 2.7785400e-17 2.4162915e-17 ... 3.6125128e-17 2.5039521e-17
 2.1960206e-17]"
3857-55272-0747,[ 3583.4395  3584.264   3585.0903 ... 10341.888  10344.272  10346.657 ],"[5.1799477e-18 7.3011256e-17 2.5782416e-17 ... 3.5643730e-18 2.2046047e-17
 8.4145237e-18]","[3.8541405e-17 3.8763940e-17 3.7569091e-17 ... 3.4763149e-17 2.5198873e-17
 2.3438421e-17]"
3864-55649-0861,[ 3591.6995  3592.526   3593.3542 ... 10389.631  10392.016  10394.412 ],"[ 7.6925494e-17  3.5093018e-17  6.0053862e-17 ... -1.2870325e-16
 -1.4567388e-16 -1.6264545e-16]","[3.2639726e-17 2.8921543e-17 2.7215008e-17 ... 0.0000000e+00 0.0000000e+00
 5.0892559e-17]"
3866-55623-0844,[ 3590.8735  3591.6995  3592.526  ... 10358.569  10360.958  10363.348 ],"[ 3.8912809e-18  1.3037698e-16 -2.1745445e-18 ...  4.7442181e-20
 -9.5042440e-18 -1.9056132e-17]","[4.5856465e-17 4.6985930e-17 4.6225910e-17 ... 3.1198172e-17 0.0000000e+00
 2.4903505e-17]"
3867-55652-0934,[ 3590.0457  3590.8735  3591.6995 ... 10363.348  10365.737  10368.116 ],"[ 3.8660139e-18  7.1620156e-17  6.9613853e-17 ... -7.4397327e-18
 -2.8294540e-17 -7.7182388e-19]","[1.2932535e-16 6.8930813e-17 5.4485040e-17 ... 4.1082190e-17 2.8088026e-17
 3.5099633e-17]"
3871-55307-0203,[ 3574.374   3575.1963  3576.0208 ... 10322.862  10325.231  10327.612 ],"[ 1.0544237e-16  8.7478294e-17  6.9525715e-17 ... -1.1349894e-18
 -2.3440194e-17  8.8471987e-18]","[3.7717007e-17 0.0000000e+00 3.4964981e-17 ... 1.3369269e-17 1.7008028e-17
 1.7299250e-17]"
3873-55277-0544,[ 3581.7893  3582.6133  3583.4395 ... 10363.348  10365.737  10368.116 ],"[ 3.5719230e-17  3.2926596e-17  1.2643853e-18 ... -3.7825011e-17
 -4.4128461e-17 -5.0432070e-17]","[3.6168499e-17 3.4236251e-17 3.4690645e-17 ... 2.8330023e-17 0.0000000e+00
 2.6943972e-17]"
3879-55244-0315,[ 3565.3318  3566.1538  3566.9744 ... 10303.861  10306.237  10308.603 ],"[ 5.8870941e-17  1.9541726e-16  7.9448812e-17 ... -7.3957087e-17
 -2.6628312e-17  4.7559851e-17]","[3.7557431e-17 3.1404266e-17 2.6911810e-17 ... 4.9920082e-17 3.4659824e-17
 2.0077275e-17]"
